transport,country,corridor,bcp_code,bcp_name,direction,tfi1_h,tfi2_usd
road,Uzbekistan,P46,P46-2,Oibek,Outbound,10.2,
road,Uzbekistan,P31,P31-2,Saryasia,Outbound,5.3,122.0
road,Uzbekistan,P01,P01-2,Termez,Outbound,,
road,Uzbekistan,P45,P45-2,Uchkurgan,Outbound,,
road,Uzbekistan,P37,P37-2,Yallama,Outbound,3.9,8.0
road,Afghanistan,P57,P57-1,Aqina,Inbound,,
road,Afghanistan,P01,P01-1,Hairatan,Inbound,,
road,Afghanistan,P02,P02-1,Islam Qala,Inbound,,
road,Afghanistan,P04,P04-1,Shirkhan Bandar,Inbound,,
road,Afghanistan,P35,P35-2,Spin Buldak,Inbound,10.7,34.0
road,Afghanistan,P55,P55-1,Torghondi,Inbound,,
road,Afghanistan,P03,P03-1,Torkham,Inbound,19.0,183.0
road,Azerbaijan,P05,P05-1,Baku,Inbound,0.1,49.0
road,Azerbaijan,P06,P06-1,Beyuk Kesik ,Inbound,,
road,Azerbaijan,P07,P07-1,Krasnyi Most,Inbound,5.2,72.0
road,Georgia,P64,P64-1,Batumi,Inbound,,
road,Georgia,P06,P06-2,Gabdabani,Inbound,,
road,Georgia,P63,P63-1,Poti,Inbound,,
road,Georgia,P07,P07-2,Tsiteli Khidi,Inbound,2.8,97.0
road,Kazakhstan,P40,P40-1,Aisha Bibi,Inbound,,
road,Kazakhstan,P05,P05-2,Aktau,Inbound,,
road,Kazakhstan,P53,P53-2,Altynkol,Inbound,,
road,Kazakhstan,P17,P17-1,Aul,Inbound,,
road,Kazakhstan,P21,P21-1,Beyneu,Inbound,,
road,Kazakhstan,P58,P58-1,Bolashak,Inbound,,
road,Kazakhstan,P08,P08-2,Dostyk,Inbound,22.2,601.0
road,Kazakhstan,P25,P25-1,Ganyushking,Inbound,,
road,Kazakhstan,P43,P43-1,Jana Jol,Inbound,,
road,Kazakhstan,P18,P18-1,Kairak,Inbound,,
road,Kazakhstan,P52,P52-2,Karasu,Inbound,3.4,26.0
road,Kazakhstan,P11,P11-2,Khorgos,Inbound,,
road,Kazakhstan,P37,P37-1,Konysbayeva,Inbound,1.4,75.0
road,Kazakhstan,P34,P34-2,Kordai,Inbound,,
road,Kazakhstan,P26,P26-1,Kurmangazy,Inbound,1.7,7.0
road,Kazakhstan,P61,P61-2,Kuryk,Inbound,1.0,157.0
road,Kazakhstan,P15,P15-2,Merke,Inbound,,
road,Kazakhstan,P44,P44-1,Pogodaevo,Inbound,2.1,3.0
road,Kazakhstan,P23,P23-1,Saryagash,Inbound,,
road,Kazakhstan,P42,P42-1,Taskala,Inbound,2.1,3.0
road,Kazakhstan,P22,P22-1,Tazhen,Inbound,2.1,59.0
road,Kazakhstan,P19,P19-1,Zhaisan,Inbound,0.9,30.0
road,Kazakhstan,P24,P24-1,Zhibek Zholy,Inbound,,
road,Kyrgyz Republic,P34,P34-1,Ak Zhol,Inbound,,
road,Kyrgyz Republic,P52,P52-1,Ak-Tilek,Inbound,0.6,3.0
road,Kyrgyz Republic,P15,P15-1,Chaldovar,Inbound,0.7,35.0
road,Kyrgyz Republic,P40,P40-2,Chon Kapka,Inbound,,
road,Kyrgyz Republic,P14,P14-1,Dostuk,Inbound,0.7,6.0
road,Kyrgyz Republic,P13,P13-2,Irkeshtam,Inbound,1.4,583.0
road,Kyrgyz Republic,P16,P16-1,Karamyk,Inbound,,
road,Kyrgyz Republic,P45,P45-1,Kensay,Inbound,,
road,Kyrgyz Republic,P49,P49-1,Kyzyl-Bel,Inbound,,
road,Kyrgyz Republic,P12,P12-2,Torugart,Inbound,1.7,28.0
road,Mongolia,P51,P51-2,Altanbulag,Inbound,1.7,8.0
road,Mongolia,P54,P54-1,Bichigt,Inbound,,
road,Mongolia,P27,P27-1,Sukhbaatar,Inbound,,
road,Mongolia,P28,P28-1,Ulaanbaishint,Inbound,,
road,Mongolia,P09,P09-2,Yarant,Inbound,7.1,199.0
road,Mongolia,P10,P10-2,Zamiin-Uud,Inbound,1.8,8.0
road,Pakistan,P35,P35-1,Chaman,Inbound,,
road,Pakistan,P38,P38-1,Karachi,Inbound,,
road,Pakistan,P56,P56-2,Khunjerab,Inbound,,
road,Pakistan,P03,P03-2,Peshawar,Inbound,,
